district,medianVoterIdeologyStr,actualVoterSatisfactionStr,primaryIdeologyStr,primaryPartyStr,primarySatisfactionStr,irPrimaryIdeologyStr,irPrimaryPartyStr,irPrimarySatisfactionStr,h2hPrimaryIdeologyStr,h2hPrimaryPartyStr,h2hPrimarySatisfactionStr,instantRunoffIdeologyStr,instantRunoffPartyStr,instantRunoffSatisfactionStr,headToHeadIdeologyStr,headToHeadPartyStr,headToHeadSatisfactionStr,final5IdeologyStr,final5PartyStr,final5SatisfactionStr
AL-01,13.420,21.800,48.41,Rep,37.80,36.88,Rep,55.62,47.76,Rep,37.95,41.96,Rep,46.99,13.28,Rep,100.00,13.44,Rep,99.80
AL-02,14.464,59.600,41.84,Rep,49.40,50.75,Rep,34.77,33.88,Rep,62.91,14.35,Rep,99.90,22.63,Rep,84.22,50.52,Rep,34.97
AL-03,14.636,61.000,44.41,Rep,45.40,20.17,Rep,89.16,46.92,Rep,40.76,-7.63,Dem,60.44,14.54,Rep,100.00,23.30,Rep,82.93
AL-04,27.171,80.400,75.53,Rep,17.40,67.94,Rep,24.72,70.11,Rep,22.11,19.66,Rep,84.42,23.84,Rep,92.86,27.18,Rep,99.90
AL-05,15.391,19.600,46.65,Rep,42.80,72.90,Rep,11.85,48.86,Rep,38.76,50.11,Rep,36.75,15.32,Rep,100.00,34.41,Rep,63.45
AL-06,22.925,18.600,35.71,Rep,74.00,54.52,Rep,38.96,53.48,Rep,40.56,24.29,Rep,96.99,22.76,Rep,99.80,22.97,Rep,99.80
AL-07,-21.073,63.600,-48.84,Dem,46.00,-43.09,Dem,56.43,-60.30,Dem,28.71,-23.08,Dem,95.98,-24.71,Dem,92.57,-21.09,Dem,100.00
AK-01,7.456,61.800,42.02,Rep,39.80,36.26,Rep,47.99,-26.91,Dem,42.17,25.81,Rep,65.86,7.40,Rep,99.80,-4.37,Dem,78.31
AZ-01,0.902,64.800,-19.32,Dem,63.60,39.58,Rep,35.14,29.07,Rep,50.60,-11.09,Dem,78.11,0.91,Rep,99.80,17.80,Rep,69.48
AZ-02,-0.875,71.800,-21.45,Dem,62.80,-45.44,Dem,27.71,-32.80,Dem,44.78,17.36,Rep,67.27,-0.94,Dem,99.80,-14.34,Dem,75.50
AZ-03,-13.529,22.400,-55.82,Dem,27.20,-61.95,Dem,20.28,-47.26,Dem,38.76,-13.59,Dem,99.80,-13.40,Dem,99.60,-13.50,Dem,99.80
AZ-04,18.767,19.200,44.53,Rep,51.00,41.55,Rep,55.28,47.87,Rep,44.42,18.93,Rep,99.70,18.64,Rep,99.70,21.71,Rep,94.07
AZ-05,12.655,4.400,51.09,Rep,32.80,36.56,Rep,55.02,49.97,Rep,33.53,28.59,Rep,69.28,12.73,Rep,99.60,10.74,Rep,96.39
AZ-06,7.826,19.800,47.96,Rep,32.40,45.27,Rep,34.97,-30.09,Dem,37.59,7.72,Rep,99.90,7.85,Rep,99.70,-8.42,Dem,70.95
AZ-07,-22.882,55.000,-60.53,Dem,30.00,-68.48,Dem,20.48,-47.78,Dem,50.40,-21.23,Dem,96.59,-30.59,Dem,84.14,-21.92,Dem,97.99
AZ-08,11.462,20.800,23.79,Rep,77.20,76.17,Rep,8.24,57.79,Rep,22.91,19.73,Rep,84.22,11.53,Rep,99.90,11.47,Rep,99.90
AZ-09,-5.138,53.400,-38.77,Dem,41.40,28.84,Rep,42.37,22.45,Rep,52.01,-21.66,Dem,69.88,-9.46,Dem,92.37,19.90,Rep,56.02
AR-01,14.843,51.600,25.75,Rep,79.40,51.42,Rep,34.34,42.94,Rep,47.39,15.00,Rep,99.80,14.85,Rep,99.80,15.06,Rep,99.60
AR-02,5.797,33.600,52.26,Rep,25.20,30.46,Rep,55.48,39.83,Rep,40.60,5.71,Rep,99.90,5.76,Rep,99.90,-14.56,Dem,63.92
AR-03,16.340,63.600,45.26,Rep,46.20,60.93,Rep,23.52,37.67,Rep,58.89,25.18,Rep,82.61,10.46,Rep,88.64,17.68,Rep,97.49
AR-04,14.701,30.200,63.91,Rep,19.80,38.61,Rep,54.82,38.30,Rep,55.22,14.87,Rep,99.60,14.70,Rep,100.00,42.83,Rep,47.39
CA-01,9.045,26.400,45.90,Rep,36.40,-33.51,Dem,31.36,50.15,Rep,29.95,42.68,Rep,40.40,18.94,Rep,81.41,44.41,Rep,37.79
CA-02,-21.656,57.800,-72.12,Dem,15.80,-81.71,Dem,8.84,-52.90,Dem,39.80,-21.83,Dem,99.70,-21.59,Dem,99.70,-21.60,Dem,99.70
CA-03,-5.994,54.800,32.49,Rep,37.00,-38.52,Dem,42.77,-39.38,Dem,41.57,-6.04,Dem,100.00,-5.98,Dem,99.80,-39.17,Dem,41.77
CA-04,8.354,10.400,52.91,Rep,26.80,45.59,Rep,35.18,-39.79,Dem,25.33,-20.25,Dem,50.65,8.35,Rep,99.90,8.24,Rep,99.90
CA-05,-21.470,63.200,-45.26,Dem,52.60,-67.34,Dem,20.50,-44.05,Dem,55.08,-21.54,Dem,99.90,-31.30,Dem,80.00,-21.55,Dem,99.90
CA-06,-21.044,55.200,-41.66,Dem,58.20,-41.12,Dem,59.70,-36.97,Dem,67.74,-48.41,Dem,46.63,-21.16,Dem,99.50,-36.91,Dem,67.74
CA-07,-3.871,64.800,-40.71,Dem,37.00,-31.35,Dem,51.20,-35.65,Dem,44.38,-37.34,Dem,41.97,-3.99,Dem,99.80,18.49,Rep,60.24
CA-08,7.368,46.800,41.29,Rep,41.00,44.24,Rep,35.98,-24.56,Dem,45.83,35.72,Rep,49.05,7.29,Rep,99.70,12.69,Rep,90.05
CA-09,-9.074,67.800,-38.28,Dem,46.80,-64.38,Dem,15.08,19.02,Rep,51.26,-48.80,Dem,31.56,-9.06,Dem,99.90,-9.14,Dem,99.90
CA-10,-1.588,39.200,-40.80,Dem,34.20,-44.12,Dem,30.12,38.53,Rep,33.73,26.30,Rep,51.20,-1.38,Dem,99.60,-19.44,Dem,67.87
CA-11,-21.122,39.000,-41.73,Dem,58.40,-50.52,Dem,43.02,-41.35,Dem,59.30,-20.87,Dem,99.50,-21.04,Dem,99.90,-21.09,Dem,99.90
CA-12,-34.941,67.800,-57.46,Dem,50.60,-83.91,Dem,13.87,-60.63,Dem,44.82,-42.99,Dem,81.61,-34.83,Dem,99.70,-34.91,Dem,99.70
CA-13,-36.887,34.400,-30.49,Dem,85.60,-69.87,Dem,31.93,-60.73,Dem,47.79,-36.84,Dem,99.80,-36.94,Dem,100.00,-27.41,Dem,78.31
